id,name,rating,price level
oAa1My9qUpw6Zss2Ye-1Fg,Taverna,3.5,$$
o8cjmgX0RB6BQxjtnwevug,Gourmands Neighborhood Pub,4.0,$
o803sz-dMD7InLFRf-fgFA,The Iron Bear,4.0,$$
o6zI8zxv6LTZa9MGs6TB9A,El Naranjo South Lamar,4.0, 
o3fCnYYhmIvTH1MIruA1oA,Green Lunch,4.5, 
nyDs0CD-lFysI3oIG9T5bw,Wu Chow,4.0, 
ns0Mpt-rWQg8yYFNA2Rdbw,Kerbey Lane Cafe - Westlake,3.5,$$
n_WTYSmfSpSdVYDHBcPDKQ,Bento Picnic,4.5,$$
nXtn29mTWlYeHxvHSz4dfA,Koriente,4.5,$$
nWfjn4x9yRabINqKL5Yaeg,ZIKI,3.5, 
nVy4W0Utg4iasHvSmOymOA,It's Italian Cucina,4.0,$$
nNLO8Tb8YpzbueWDvsBujw,Asador,4.5,$$
nNFaWdWQzAKglF7QvszbnQ,Mission Street Burrito,4.0, 
nJx3CI1grAFz1m9DO4CN-g,Komé,4.0, 
nDu10_4SSjhUar60_Mmvmw,White Tiger,4.0, 
nCzHqCVpEZWIFmL-2Uov0Q,Kuway's Banh Mi,4.5, 
nCcuimG_qDTv1INBHMK26w,Snarf's Sandwiches,3.5,$$
n7qBU0UHM5wdaZU59AGU7g,Monk's Momo,4.5,$
n4Tbbx7O-zKtlAL7ZU9fAA,Verbena,3.5, 
mogkoS6NCXfBcwtHOfHnWA,Kingston19 Authentic Jamaican Food,4.5,$
mib80ssh7Wf7cI2o4a0xiw,Metcalf Barbecue,4.0,$$
mfu-s-Jng7yP8KN2SCnHQg,Oya Rice Bowl,5.0,$$
mcwsZGskQ9O4d-kKzV473A,Better Half Coffee & Cocktails,4.0, 
mckGTGd1K-k99PzlQXB4eA,Bubble Egg,3.5,$
mbNRIX5ROAzeDAmCVM_xzg,Via 313 Pizza,4.5,$
mXDYtboV6TXsZY5I3DKVtg,El Secreto De Abuela,4.0,$$
mWDRxwPt8HgOdrNyckv99A,Rollin Smoke BBQ,4.5, 
mW1UuMcGmCQxVp9e-z7t8w,Yeni’s Fusion,5.0,$$
mUPGTM4KZCyDpkqsZ-eKsg,Austin Beer Garden Brewing Company,4.0,$$
mQ--5JoQtMEcVwuRa3txMA,Street,4.0,$$
mId-HN-F1HO2OEAxdrrg1A,Santa Rita Tex-Mex Cantina,3.0,$$
mISMcGuB3XnbCoM4i-zT8A,Tacos Laguna #2,4.5,$$
mHHPfCZGRp4BQe_QvVno7g,Juliet Italian Kitchen,4.0,$$
mDhPwgvxpI_Ny-NIn4M76A,Provision Dining House,4.0,$$
mBkiUg_f-hywXVrH9DrSnQ,Little Wu,3.5,$$
m2AzyGWRKkwYoe66dY1MzQ,Casa De Luz,4.5, 
lzIrYSHzJGQYV4AHNLqDTg,Onigilly - Lower Mission,4.0, 
lx_ml9N0Bi8g2AJW1itfeA,Korean Grill,4.0, 
lpqGkyaOIeoF44xk1bhWuQ,Creekside Cafe,3.5,$$
lnxDPi7QcCqp733mTOJcZA,Bufalina Due,4.0,$$
lkAE1w_IGWy8szpUtKXSdA,Chef Hong,4.5,$$
lg67PPs3Hq3ftJGlh_QkvQ,Holy Waffle Catering and Food Truck,5.0,$$
lbmlK1RAaoYwybu0l2Ig-A,Sherpa Snacks,4.5, 
la7Zg-LRYE9TPb791akEOg,Happy Chicks,4.0, 
lMKRC1DD8ULTnlCQuWzC5w,Westlake Wine Bar,4.0,$$
lLp4uZuAYixCojaIoJYYgA,Pepitos 512,5.0,$
lJKM3V65LfbsmVvMp1JEaw,Poke-Poke,4.0,$$
lIXsFNSHZmhfD0dlbV4lSg,Santorini Cafe,4.5,$
lE-i5bENiefhidIZYP--qw,Pool Burger,3.5,$$$
lCmz-bwclEuwsxm4-i2lNw,Veracruz All Natural,4.0, 
l6mnLr-O8qYx7A9zxPEvTw,Sixth and Waller,4.0, 
ksC_3DK_OMUuxduB7c10Gw,Simons Burger,4.5, 
kry4tYRNfQshObxO5RTrIw,Variedades Marquez,5.0,$$
kqeblz37dvpiwy7-l9VfXA,Ceviche7,5.0, 
kpsH-uAoKvYO8PDn1I7xGA,Revelry on the Boulevard,4.5, 
knOY5Nt5GlmIxAadPlirvQ,ñoños tacos,4.5,$$
kUsfTyAa2qfR1QslL4ypZA,Kalimotxo,4.0, 
kS9kFxQ41e45z7O3kXKRhA,Rice Ball,4.0, 
kS9Dq_TggiorC5yI0odKGQ,Longhorn Chicken,3.5,$$
kLLx0hlm7yyraE8EeT2-sQ,Discada,4.5,$$
kHOI8apECknxdVDbG-foPg,Quattro Gatti Ristorante e Pizzeria,3.5,$$
kCdONcIH6Fz5Gz3TmBWdTw,Garrison,4.5, 
kCay_3uqhE44jaWNDCBmhA,Thai Kun,4.0, 
k8KHoiDklnXDtXvLyxbd-w,The Original Black’s Barbecue,4.0,$$
jvNkx23Jwg0TGEAJzzwiNQ,Tan My,4.5,$$
jtQTuB0MrXcRmfcpSMOGbw,Metcalf Barbecue ,4.0,$
jsXdprjBuHwuBrpURK8FXQ,Good Things,4.0, 
jmmzYxurOoA_K_RtanzQow,Paperboy,4.5,$$
jefgDin_KoHy_JZLvQG0bA,Oz. Tap House,4.0,$$
jUiS3w1HX6qhEzNduA3oVw,Tyson's Tacos,4.0,$$
j5atP7hiE7sotoAxbNTOSQ,Stars Cafe,3.0, 
j4b0x8kxFAM8yjllwsCa5g,The Headliners Club,4.5, 
j3CWjH0XtesbbDZFVq3c7Q,Pinthouse Pizza,4.0,$$
iyeJrTWE3_Xtup77dC_Mtg,Waltons Fancy and Staple,4.0,$$
ixr0JuTH62_NnGymBFowqw,Mum Foods,5.0,$
iuy7Wk41ZlSzk2DhNv0ymQ,TenTen,4.5,$$
irXjl1l2cMSI6k027jUpjg,Torchy's Tacos,4.0,$$
iqym2XW_Fbi-RZp2JKd0cQ,That Burger,5.0,$$
in3x8vcEbyuzumx4AvDZqQ,bb.q Chicken - Austin,4.0,$$
iiHcYdhd1CeDJjFZVCtKgg,Buddy's Burger,4.0,$$
iURC7TkQa28rW1r9H-tT0Q,DittyDog,5.0,$
iR4hHqrfWrklIiUIagGWGA,Lynx Grill & Bar,3.0,$$
iIzk55asuvtuASridPT-Dg,Pappasito's Cantina,3.5,$$
i61ob7-OiiynnH2dsrpN1Q,Din Ho Chinese BBQ,4.0,$
i1GWpxJ1Phm2awhVaTkouA,Juniper,4.0,$$
hzamnmFBJF9jnOVa4DGMKg,NeWorlDeli,4.0,$$
hveKjJmiPTcUS4sKuvZBYg,Jeffrey's,4.0,$$
hrSpsG_ccJnPQMq8SYAH5Q,Messhall Cafe,4.0,$
hpttZ0nryCCmV1hxwN3ZGg,ATX Cocina,4.0,$$$
hpAOH8cmY5WHjnl8jGQ1dA,1886 Cafe & Bakery,4.0, 
hamyC5gQIDwxealyzOqq7Q,The Limestone Kitchen Restaurant & Lounge,3.5,$$
h_It_i-0ZyMy8UoNXV8Q7w,REVUE,4.0,$$
hYDAmF6f-8qfNuDJmZAoKg,Daygo's San Diego Taco Shop,4.5,$$
hTp23z3Q5PCvuGvKTIQtXw,Madam Mam's - UT West Campus,3.0,$$
hT8ihPNLAasb5RIkUVcW0w,East Side King,4.0,$$
hKHtua-rA2i4PnDqClMhQw,Vivo Austin,4.0,$$
hI9SS8or178ESYI3g8o4cA,Chicken Bowl,4.0,$$
hGNI2d-tCmVwUWKztDDl2w,Pluckers Wing Bar - Rio Grande,3.5, 
hBXgiEy2MbV7pL2jCnrB1w,Geraldine's,3.5,$$
h9jxSQshS-5yogV4OvjdSg,The Mockingbird Café,4.0,$$
h9JTj7NrcdJLC_pYqxruqQ,Citizen Eatery,4.0, 
h3ygYy3mwzskQlCH1jtnBA,La Santa Barbacha,4.5, 
goEFwDjDqc--nUlB5_ZDfA,Shirley’s Trini Cuisine,4.5, 
gghrK_T4ulGBgJPtn2cbiA,The Carillon,4.5,$$
geKD-rN5Z8a_s5CbtfXfdw,Hippie Picnik,5.0,$
g_ekqJWUaFl2NQI1MUIQrg,Bar Louie,4.5, 
g_91ldz2YMXJ_WEf7pp8-w,The G Spot Wangs N Thangs,4.5,$$
gZFDH2MMBKEG7RVXDMeRRA,Cousins Maine Lobster - Austin,4.0,$$
gXlrgQkkdCc9iESuRlN_Uw,La Tunita 512,5.0,$$
gPf1hBlc9TgkYvVtgD9DcQ,Pokeatery,4.0, 
gKREdIgb5vB844iOtbzqBA,Pinthouse Pizza,4.5, 
gFq0fu3vxmtGCfVedyLghg,Kin Zen by Sarm Pun Mile,5.0,$$
gEI1fh18fdbEh0RuGtEHRg,Fil N' Viet,4.5, 
g6B2TZYS7JKKpNWPwVnwqw,Taco Joint,4.5, 
g23A-0NiWi8OkEf6mynjAg,Domo Alley Gato Tatsu-Ya,4.0,$$
ftg9C812G6q1_vVRkDP0wA,Gyro Delicious,5.0,$$
fszy3S_lTDUt32f9gb2-pg,Carpenters Hall,4.0, 
fsqtrHKBUeucacxeX9FPaA,Kerbey Lane Cafe - University,3.5,$$
fmpvRs8PrdZwSh_XeVw2_Q,El Marisquero Seafood,5.0,$$
ff9xAuZ3-9iljMexfkf3yA,34th Street Cafe,3.5,$$
feNjLEC9gZ5QdPlQ05SDwQ,Hestia,4.5,$$$
fd3yGJTbSviei1TFgHGXUw,Batch - Craft Beer and Kolaches,4.5, 
fZbTZ8MS-fv-TUDEyfCxeg,Poke-Poke,4.5,$$
fYxN6dB5hxtTBAfB_fEwdg,The Victory Grill,4.5, 
fWgfmVcdwx_vY4wSphV1Lw,Soto South Lamar,4.0,$$
fTwvEZw8tvF73QxcX-5TdA,Mongers Market + Kitchen,4.0,$$
fTpp8kuKOITj1KSEz9UG2Q,Qi Austin,4.5,$$
fTgnVCCu6k_Ds25Nz73s5Q,Sushi Zushi,3.0,$$
fP8YU03hNC4MfzPp8JVMYg,Iron Works Barbecue,3.5, 
fNTpqhAgwZzVEpTK72Dtqg,Taco 'N Mama,4.5, 
fIkxEAcQoEUrLOh1jOfF7A,The Pho,3.5,$
fDKbXHlYKZsI02j6_qBSAA,Austin Rotisserie,4.5,$$
fBvQQUk1-V9IUA8PbuYFWg,Newk's Eatery,3.5,$$
fAw1VGWzFWGUVQRWWUZLwQ,Licha's Cantina,4.0,$$
f6bsxIitCz6o2XgXeyYJLw,Olamaie,4.0,$$
f5P9ufNH5mJz9BWj-sl8pw,The Beer Plant,4.0, 
f3z345jld7j6zr7_jJKnTA,In-N-Out Burger,4.0, 
f3fl1UNbjk7WDM6gIFgVzg,Pueblo Viejo Riverside,4.5, 
