id,name,is closed,rating,review count,categories,address,coordinates,transaction types,price level,Categories_merged,Latitude,Longitude,Address_mod,Zipcode,Delivery,Pickup,Reservation,Rating_stndized,Review count_stndized
vwwG4ZL46BBXeZMdrhi8PQ,Eberly,False,4.0,621,Bars,"['615 S Lamar Blvd', 'Austin, TX 78704']","{'latitude': 30.258668, 'longitude': -97.758881}",['delivery'],$$,Bars/Pubs,30.258668,-97.758881,"'615 S Lamar Blvd', 'Austin, TX 78704'",78704,1,0,0,-0.216633048725356,0.342803175719639
vsxNLpgHX5hv0fWAI9XyHA,The Driskill Grill,False,3.5,222,American (New),"['604 Brazos St', 'Austin, TX 78701']","{'latitude': 30.2686613206705, 'longitude': -97.7417146061516}",['delivery'],$$,American,30.2686613206705,-97.7417146061516,"'604 Brazos St', 'Austin, TX 78701'",78701,1,0,0,-1.3268774234428045,-0.3131660263933711
vo1MjyIvHbAJ93PasKHIRg,The Grove Wine Bar & Kitchen,False,4.0,377,Wine Bars,"['800 W 6th St', 'Ste 100', 'Austin, TX 78701']","{'latitude': 30.27053, 'longitude': -97.750899}",['delivery'],$$,Bars/Pubs,30.27053,-97.750899,"'800 W 6th St', 'Ste 100', 'Austin, TX 78701'",78701,1,0,0,-0.216633048725356,-0.05834089775297871
vlOcLg-JQAEpXw1qfbTdtA,China Family,False,4.0,40,Chinese,"['2525 W Anderson Ln', 'Ste 110', 'Austin, TX 78757']","{'latitude': 30.35679, 'longitude': -97.73269}","['delivery', 'pickup']",$$,Asian,30.35679,-97.73269,"'2525 W Anderson Ln', 'Ste 110', 'Austin, TX 78757'",78757,1,1,0,-0.216633048725356,-0.6123800484098318
vdfA3cRWZuQRQ9A7qIxHZw,Saffron,False,4.5,452,Indian,"['3616 Far W Blvd', 'Ste 113', 'Austin, TX 78731']","{'latitude': 30.35501, 'longitude': -97.7555}","['delivery', 'pickup']",$$$,Middle-eastern/Indian/African,30.35501,-97.7555,"'3616 Far W Blvd', 'Ste 113', 'Austin, TX 78731'",78731,1,1,0,0.8936113259920925,0.06496158384721115
vRKnv95_ywFZRi0qjQhLnQ,Les Bobos Crepes,False,5.0,55,Creperies,"['2707 Rio Grande St', 'Ste 100', 'Austin, TX 78705']","{'latitude': 30.292411566467, 'longitude': -97.7440443470244}","['delivery', 'pickup']",$$,Pizza/European,30.292411566467,-97.7440443470244,"'2707 Rio Grande St', 'Ste 100', 'Austin, TX 78705'",78705,1,1,0,2.003855700709541,-0.5877195520897939
v9PdEbST0SWy06l0SzXU_w,Meat & Bread,False,5.0,58,Sandwiches,"['360 Nueces St', 'Ste 20', 'Austin, TX 78701']","{'latitude': 30.26707465829323, 'longitude': -97.74983827055262}","['delivery', 'pickup']",$$,American,30.26707465829323,-97.74983827055262,"'360 Nueces St', 'Ste 20', 'Austin, TX 78701'",78701,1,1,0,2.003855700709541,-0.5827874528257863
v87I5i4XxiCr9Ihiqkbc4A,The Grove Wine Bar & Kitchen,False,4.0,579,Pizza,"['6317 Bee Caves Rd', 'Austin, TX 78746']","{'latitude': 30.2963184857946, 'longitude': -97.8328549861908}",['delivery'],$$,Pizza/European,30.2963184857946,-97.8328549861908,"'6317 Bee Caves Rd', 'Austin, TX 78746'",78746,1,0,0,-0.216633048725356,0.2737537860235326
v6CQxNa1kek_Rx3pd7lgPw,Quan Co 9,False,4.0,14,Vietnamese,"['10901 N Lamar Blvd', 'Ste 101', 'MT supermarket', 'Austin, TX 78753']","{'latitude': 30.37819056864561, 'longitude': -97.68769447574749}","['delivery', 'pickup']",$,Asian,30.37819056864561,-97.68769447574749,"'10901 N Lamar Blvd', 'Ste 101', 'MT supermarket', 'Austin, TX 78753'",78753,1,1,0,-0.216633048725356,-0.6551249086978976
v1UzkU8lEWdjxq8byWFOKg,Gus's World Famous Fried Chicken,False,4.5,2919,Southern,"['117 San Jacinto Blvd', 'Austin, TX 78701']","{'latitude': 30.2634862, 'longitude': -97.7417305}",['delivery'],$$,American,30.2634862,-97.7417305,"'117 San Jacinto Blvd', 'Austin, TX 78701'",78701,1,0,0,0.8936113259920925,4.120791211949456
